item_id,domain,b_orig_response,b_perm_response,shift_k,classification
1077,law,F,F,4,same_letter
1078,law,E,E,2,same_letter
1079,law,E,F,9,other
1083,law,E,E,6,same_letter
1084,law,D,F,2,shifted_content
1085,law,E,E,6,same_letter
1086,law,E,E,5,same_letter
1090,law,F,G,6,other
1091,law,I,G,8,shifted_content
1094,law,D,H,8,other
1096,law,G,E,2,other
1099,law,E,E,1,same_letter
1100,law,F,F,2,same_letter
1101,law,F,B,6,shifted_content
1103,law,J,F,6,shifted_content
1106,law,E,F,9,other
1108,law,G,G,5,same_letter
1110,law,I,H,9,shifted_content
1114,law,C,D,1,shifted_content
1116,law,E,E,9,same_letter
1117,law,E,E,7,same_letter
1123,law,F,F,8,same_letter
1124,law,F,F,5,same_letter
1132,law,E,E,2,same_letter
1136,law,E,E,6,same_letter
1137,law,F,E,3,other
1139,law,E,E,6,same_letter
1142,law,G,F,9,shifted_content
1143,law,E,G,5,other
1144,law,E,E,6,same_letter
1145,law,I,B,2,other
1146,law,E,G,6,other
1147,law,G,E,4,other
1154,law,F,E,2,other
1155,law,G,E,1,other
1156,law,C,F,3,shifted_content
1158,law,G,E,8,shifted_content
1159,law,E,E,4,same_letter
1161,law,F,F,4,same_letter
1162,law,G,B,2,other
1163,law,G,C,6,shifted_content
1165,law,E,E,7,same_letter
1168,law,E,E,8,same_letter
1169,law,E,F,6,other
1172,law,E,G,6,other
1174,law,E,E,2,same_letter
1179,law,E,F,1,shifted_content
1183,law,I,G,1,other
1184,law,E,E,3,same_letter
1185,law,F,F,8,same_letter
1187,law,F,E,1,other
1189,law,C,E,1,other
1190,law,I,E,5,other
1191,law,F,E,2,other
1193,law,E,G,4,other
1195,law,F,E,9,shifted_content
1199,law,E,F,8,other
1203,law,F,F,5,same_letter
1204,law,F,F,6,same_letter
1205,law,E,E,6,same_letter
1206,law,F,E,3,other
1207,law,E,B,3,other
1208,law,F,E,9,shifted_content
1209,law,H,E,5,other
1211,law,F,E,4,other
1212,law,E,F,3,other
1214,law,E,E,7,same_letter
1215,law,F,F,7,same_letter
1216,law,F,F,3,same_letter
1218,law,E,F,2,other
1220,law,E,E,3,same_letter
1221,law,F,F,4,same_letter
1223,law,F,E,6,other
1227,law,F,E,4,other
1228,law,E,F,8,other
1229,law,E,E,7,same_letter
1231,law,G,E,8,shifted_content
1237,law,E,G,7,other
1241,law,G,E,3,other
1243,law,E,E,3,same_letter
1244,law,E,E,5,same_letter
1245,law,F,E,8,other
1248,law,F,F,8,same_letter
1252,law,F,F,5,same_letter
1255,law,J,F,1,other
1259,law,E,E,8,same_letter
1261,law,C,E,8,other
1263,law,E,E,5,same_letter
1266,law,E,F,2,other
1267,law,D,F,7,other
1268,law,E,E,8,same_letter
1276,law,F,E,1,other
1278,law,F,F,9,same_letter
1279,law,F,E,7,other
1281,law,E,B,1,other
1283,law,E,F,7,other
1288,law,E,F,8,other
1291,law,F,E,9,shifted_content
1292,law,E,E,8,same_letter
1294,law,H,F,4,other
1295,law,E,J,5,shifted_content
1302,law,G,G,5,same_letter
1303,law,G,F,2,other
1304,law,E,E,2,same_letter
1305,law,G,E,7,other
1307,law,E,F,8,other
1308,law,C,F,8,other
1309,law,E,E,5,same_letter
1311,law,G,F,8,other
1317,law,F,E,6,other
1318,law,E,F,2,other
1319,law,F,F,7,same_letter
1320,law,E,F,9,other
1322,law,E,H,5,other
1323,law,F,E,4,other
1324,law,E,E,6,same_letter
1325,law,G,F,7,other
1326,law,E,H,8,other
1328,law,E,E,5,same_letter
1336,law,E,E,8,same_letter
1339,law,G,C,6,shifted_content
1344,law,G,E,2,other
1348,law,F,F,7,same_letter
1350,law,G,F,4,other
1353,law,D,C,9,shifted_content
1356,law,E,B,9,other
1357,law,E,E,7,same_letter
1359,law,E,F,1,shifted_content
1362,law,G,E,4,other
1363,law,G,F,6,other
1364,law,G,E,8,shifted_content
1365,law,C,E,8,other
1366,law,E,E,3,same_letter
1368,law,F,F,3,same_letter
1371,law,F,F,1,same_letter
1372,law,E,E,2,same_letter
1373,law,F,E,4,other
1375,law,E,E,3,same_letter
1376,law,I,E,6,shifted_content
1380,law,E,F,3,other
1386,law,F,E,3,other
1388,law,E,E,3,same_letter
1391,law,F,F,5,same_letter
1393,law,E,E,7,same_letter
1395,law,E,F,4,other
1398,law,F,E,5,other
1399,law,G,E,8,shifted_content
1401,law,E,E,8,same_letter
1403,law,F,E,5,other
1404,law,E,E,3,same_letter
1406,law,F,E,1,other
1410,law,G,E,2,other
1411,law,E,E,8,same_letter
1413,law,F,G,1,shifted_content
1415,law,E,E,6,same_letter
1418,law,F,F,8,same_letter
1419,law,E,F,6,other
1420,law,G,G,6,same_letter
1422,law,E,F,9,other
1423,law,E,F,2,other
1424,law,I,B,3,shifted_content
1425,law,E,F,9,other
1426,law,E,E,5,same_letter
1427,law,E,G,4,other
1429,law,E,G,1,other
1431,law,F,C,8,other
1433,law,F,E,7,other
1437,law,E,F,6,other
1440,law,E,E,2,same_letter
1441,law,F,F,8,same_letter
1445,law,E,E,1,same_letter
1446,law,F,F,8,same_letter
1447,law,E,G,2,shifted_content
1449,law,E,E,4,same_letter
1450,law,E,I,4,shifted_content
1452,law,F,B,4,other
1463,law,E,F,9,other
1464,law,F,F,6,same_letter
1465,law,E,E,7,same_letter
1468,law,E,E,7,same_letter
1472,law,F,E,2,other
1473,law,E,E,2,same_letter
1474,law,F,E,7,other
1475,law,E,E,5,same_letter
1476,law,E,F,2,other
1479,law,F,G,6,other
1482,law,E,F,3,other
1483,law,E,E,9,same_letter
1484,law,F,F,6,same_letter
1486,law,F,E,1,other
1488,law,E,E,6,same_letter
1491,law,H,G,9,shifted_content
1492,law,E,H,3,shifted_content
1496,law,F,E,1,other
1500,law,E,F,2,other
1503,law,B,C,4,other
1504,law,E,E,6,same_letter
1505,law,I,C,3,other
1506,law,E,E,6,same_letter
1507,law,E,E,8,same_letter
1508,law,E,E,5,same_letter
1510,law,I,E,1,other
1513,law,E,F,9,other
1514,law,G,E,4,other
1515,law,E,E,3,same_letter
1516,law,G,E,8,shifted_content
1521,law,F,G,1,shifted_content
1523,law,E,E,1,same_letter
1524,law,F,F,8,same_letter
1526,law,E,E,4,same_letter
1527,law,E,I,4,shifted_content
1530,law,G,E,1,other
1531,law,E,G,8,other
1533,law,E,E,1,same_letter
1534,law,E,E,7,same_letter
1536,law,H,E,6,other
1537,law,F,E,2,other
1539,law,E,E,4,same_letter
1540,law,G,E,3,other
1547,law,E,G,8,other
1548,law,E,E,7,same_letter
1550,law,G,F,9,shifted_content
1551,law,F,E,4,other
1555,law,E,F,6,other
1559,law,C,E,2,shifted_content
1560,law,D,F,8,other
1562,law,E,F,7,other
1563,law,F,F,2,same_letter
1564,law,E,I,6,other
1565,law,E,E,6,same_letter
1567,law,E,E,2,same_letter
1574,law,E,E,2,same_letter
1577,law,E,I,4,shifted_content
1580,law,E,F,1,shifted_content
1585,law,F,E,8,other
1586,law,F,F,3,same_letter
1588,law,F,E,4,other
1590,law,C,F,7,other
1592,law,E,F,4,other
1595,law,F,G,5,other
1598,law,E,G,3,other
1599,law,E,G,1,other
1601,law,F,B,6,shifted_content
1602,law,I,F,7,shifted_content
1605,law,F,E,4,other
1606,law,E,E,6,same_letter
1607,law,E,E,6,same_letter
1608,law,F,E,1,other
1609,law,E,E,8,same_letter
1612,law,F,E,8,other
1613,law,F,F,9,same_letter
1614,law,E,E,1,same_letter
1615,law,I,C,3,other
1619,law,F,F,4,same_letter
1620,law,D,G,3,shifted_content
1621,law,E,E,2,same_letter
1624,law,I,D,5,shifted_content
1634,law,F,F,3,same_letter
1638,law,G,F,6,other
1639,law,F,F,8,same_letter
1641,law,G,F,3,other
1642,law,E,G,3,other
1643,law,E,E,1,same_letter
1644,law,E,E,2,same_letter
1646,law,E,E,8,same_letter
1647,law,E,G,7,other
1648,law,E,F,8,other
1652,law,F,F,9,same_letter
1659,law,C,E,7,other
1660,law,E,E,8,same_letter
1663,law,H,F,5,other
1664,law,F,F,5,same_letter
1668,law,E,B,8,other
1669,law,E,E,2,same_letter
1674,law,E,E,2,same_letter
1675,law,B,D,6,other
1677,law,I,E,4,other
1678,law,E,I,2,other
1679,law,G,F,9,shifted_content
1681,law,E,E,5,same_letter
1683,law,E,E,6,same_letter
1688,law,E,E,4,same_letter
1689,law,E,B,8,other
1691,law,E,G,7,other
1693,law,E,E,3,same_letter
1695,law,F,E,1,other
1696,law,E,F,1,shifted_content
1697,law,F,E,2,other
1702,law,B,F,4,shifted_content
1704,law,F,F,5,same_letter
1706,law,C,E,2,shifted_content
1707,law,F,F,5,same_letter
1708,law,F,F,7,same_letter
1709,law,E,I,9,other
1710,law,E,F,1,shifted_content
1711,law,F,G,8,other
1713,law,C,F,6,other
1714,law,E,E,8,same_letter
1720,law,F,F,6,same_letter
1721,law,F,D,3,other
1723,law,F,F,4,same_letter
1725,law,E,E,6,same_letter
1726,law,E,F,8,other
1735,law,F,E,8,other
1737,law,E,F,7,other
1740,law,I,G,8,shifted_content
1741,law,E,F,6,other
1745,law,F,F,2,same_letter
1747,law,E,E,9,same_letter
1748,law,E,F,8,other
1749,law,E,F,9,other
1751,law,E,E,1,same_letter
1752,law,I,E,5,other
1754,law,E,F,4,other
1760,law,I,E,6,shifted_content
1764,law,F,E,4,other
1765,law,G,F,1,other
1769,law,E,F,7,other
1770,law,E,E,1,same_letter
1771,law,G,E,1,other
1772,law,E,F,2,other
1773,law,F,E,2,other
1775,law,E,E,4,same_letter
1776,law,F,E,5,other
1778,law,E,C,9,other
1779,law,E,E,1,same_letter
1782,law,E,G,4,other
1785,law,E,F,3,other
1787,law,G,E,7,other
1788,law,E,G,2,shifted_content
1793,law,E,E,2,same_letter
1796,law,E,E,5,same_letter
1797,law,F,F,5,same_letter
1798,law,F,E,4,other
1802,law,E,G,4,other
1803,law,F,E,6,other
1804,law,F,F,1,same_letter
1810,law,F,E,6,other
1813,law,F,E,4,other
1817,law,F,F,5,same_letter
1820,law,G,E,8,shifted_content
1826,law,E,E,3,same_letter
1827,law,E,E,2,same_letter
1829,law,F,E,1,other
1831,law,F,E,9,shifted_content
1832,law,F,E,7,other
1834,law,F,E,8,other
1835,law,C,G,4,shifted_content
1836,law,E,E,7,same_letter
1837,law,F,F,2,same_letter
1838,law,E,B,8,other
1839,law,F,G,6,other
1842,law,C,B,9,shifted_content
1848,law,G,E,2,other
1849,law,E,G,3,other
1851,law,E,E,5,same_letter
1852,law,E,E,4,same_letter
1853,law,E,E,6,same_letter
1854,law,E,C,7,other
1855,law,F,E,1,other
1857,law,E,C,1,other
1860,law,E,E,2,same_letter
1864,law,B,F,6,other
1868,law,B,E,1,other
1869,law,E,I,5,other
1871,law,E,F,4,other
1873,law,E,F,4,other
1876,law,E,E,6,same_letter
1878,law,E,F,1,shifted_content
1879,law,E,F,7,other
1886,law,E,E,7,same_letter
1891,law,G,E,7,other
1892,law,E,E,7,same_letter
1895,law,G,B,1,other
1898,law,G,E,4,other
1914,law,F,F,8,same_letter
1915,law,F,F,8,same_letter
1917,law,E,G,6,other
1918,law,E,G,1,other
1919,law,E,E,7,same_letter
1928,law,C,I,9,other
1931,law,G,G,4,same_letter
1932,law,E,E,6,same_letter
1935,law,G,F,3,other
1936,law,E,E,7,same_letter
1940,law,E,E,3,same_letter
1942,law,E,G,2,shifted_content
1943,law,F,E,4,other
1944,law,F,F,2,same_letter
1947,law,F,F,4,same_letter
1949,law,G,E,4,other
1953,law,E,C,4,other
1954,law,B,G,8,other
1956,law,F,D,8,shifted_content
1962,law,E,F,9,other
1964,law,F,F,5,same_letter
1965,law,E,E,4,same_letter
1966,law,F,E,3,other
1967,law,E,E,8,same_letter
1968,law,E,E,7,same_letter
1970,law,E,F,9,other
1971,law,E,C,8,shifted_content
1977,law,G,C,7,other
1982,law,E,E,1,same_letter
1983,law,E,F,9,other
1984,law,F,E,1,other
1990,psychology,C,E,6,other
1993,psychology,G,E,8,shifted_content
1995,psychology,E,F,9,other
1998,psychology,F,G,9,other
2003,psychology,F,C,7,shifted_content
2004,psychology,E,B,7,shifted_content
2005,psychology,F,E,2,other
2006,psychology,F,E,5,other
2008,psychology,F,J,4,shifted_content
2009,psychology,G,E,3,other
2010,psychology,E,F,8,other
2011,psychology,E,E,6,same_letter
2013,psychology,E,G,2,shifted_content
2014,psychology,C,E,1,other
2015,psychology,E,G,1,other
2016,psychology,F,E,1,other
2018,psychology,E,F,5,other
2019,psychology,E,F,7,other
2020,psychology,E,C,1,other
2021,psychology,E,E,5,same_letter
2022,psychology,E,G,7,other
2023,psychology,E,E,5,same_letter
2024,psychology,F,F,8,same_letter
2027,psychology,G,E,8,shifted_content
2028,psychology,E,E,4,same_letter
2030,psychology,F,E,8,other
2032,psychology,E,E,5,same_letter
2034,psychology,E,A,1,other
2035,psychology,F,E,5,other
2036,psychology,F,H,2,shifted_content
2037,psychology,F,J,1,other
2042,psychology,E,F,7,other
2045,psychology,G,G,8,same_letter
2048,psychology,F,I,3,shifted_content
2049,psychology,G,G,6,same_letter
2050,psychology,E,D,1,other
2051,psychology,F,E,5,other
2053,psychology,F,F,3,same_letter
2054,psychology,E,D,2,other
2055,psychology,E,E,1,same_letter
2058,psychology,C,F,8,other
2059,psychology,E,G,9,other
2063,psychology,G,F,9,shifted_content
2064,psychology,E,B,7,shifted_content
2065,psychology,C,E,7,other
2066,psychology,E,F,5,other
2067,psychology,E,G,2,shifted_content
2068,psychology,E,E,5,same_letter
2071,psychology,E,E,3,same_letter
2072,psychology,C,G,4,shifted_content
2073,psychology,E,G,4,other
2074,psychology,F,E,1,other
2077,psychology,F,E,3,other
2078,psychology,I,E,2,other
2080,psychology,F,G,1,shifted_content
2081,psychology,F,E,3,other
2082,psychology,F,E,4,other
2084,psychology,G,F,4,other
2085,psychology,E,E,8,same_letter
2087,psychology,G,B,8,other
2088,psychology,E,C,5,other
2089,psychology,G,E,7,other
2090,psychology,E,J,7,other
2091,psychology,E,E,9,same_letter
2092,psychology,E,E,8,same_letter
2096,psychology,E,F,7,other
2097,psychology,B,G,5,shifted_content
2101,psychology,C,E,6,other
2102,psychology,E,E,6,same_letter
2104,psychology,C,E,9,other
2106,psychology,G,F,9,shifted_content
2110,psychology,F,E,9,shifted_content
2111,psychology,G,F,4,other
2114,psychology,J,F,9,other
2115,psychology,I,E,2,other
2116,psychology,C,E,6,other
2118,psychology,G,E,8,shifted_content
2119,psychology,E,E,1,same_letter
2120,psychology,F,D,2,other
2121,psychology,F,E,6,other
2122,psychology,G,J,3,shifted_content
2123,psychology,B,D,2,shifted_content
2124,psychology,G,H,1,shifted_content
2125,psychology,E,H,3,shifted_content
2126,psychology,A,J,9,shifted_content
2127,psychology,G,G,9,same_letter
2128,psychology,I,F,3,other
2130,psychology,C,E,8,other
2132,psychology,C,F,8,other
2133,psychology,F,F,9,same_letter
2134,psychology,A,J,9,shifted_content
2137,psychology,D,G,3,shifted_content
2138,psychology,F,C,7,shifted_content
2139,psychology,C,E,4,other
2143,psychology,I,G,8,shifted_content
2144,psychology,E,F,4,other
2147,psychology,E,G,3,other
2148,psychology,F,E,9,shifted_content
2150,psychology,D,E,4,other
2152,psychology,F,E,9,shifted_content
2153,psychology,E,E,3,same_letter
2159,psychology,F,E,7,other
2160,psychology,E,E,2,same_letter
2161,psychology,E,E,9,same_letter
2162,psychology,F,C,6,other
2163,psychology,F,F,9,same_letter
2166,psychology,D,F,2,shifted_content
2167,psychology,E,H,4,other
2168,psychology,G,E,5,other
2170,psychology,E,C,5,other
2171,psychology,E,F,1,shifted_content
2172,psychology,E,E,1,same_letter
2173,psychology,E,E,3,same_letter
2174,psychology,E,G,4,other
2175,psychology,F,E,6,other
2176,psychology,E,E,1,same_letter
2178,psychology,E,E,8,same_letter
2179,psychology,E,E,2,same_letter
2180,psychology,H,D,6,shifted_content
2183,psychology,F,F,8,same_letter
2185,psychology,E,F,2,other
2187,psychology,D,E,6,other
2188,psychology,F,E,9,shifted_content
2189,psychology,G,F,4,other
2191,psychology,E,I,4,shifted_content
2193,psychology,B,D,2,shifted_content
2194,psychology,F,G,1,shifted_content
2196,psychology,G,F,7,other
2198,psychology,E,E,7,same_letter
2201,psychology,F,F,6,same_letter
2202,psychology,B,E,7,other
2203,psychology,F,B,6,shifted_content
2207,psychology,F,E,2,other
2208,psychology,C,F,3,shifted_content
2209,psychology,B,G,2,other
2212,psychology,J,F,6,shifted_content
2214,psychology,E,E,2,same_letter
2215,psychology,E,F,7,other
2217,psychology,E,E,5,same_letter
2218,psychology,E,F,5,other
2219,psychology,E,C,4,other
2220,psychology,E,E,9,same_letter
2221,psychology,G,E,2,other
2222,psychology,C,E,9,other
2225,psychology,C,H,8,other
2226,psychology,E,C,8,shifted_content
2228,psychology,G,E,5,other
2229,psychology,E,E,6,same_letter
2230,psychology,E,C,9,other
2232,psychology,G,H,1,shifted_content
2234,psychology,C,E,6,other
2240,psychology,E,E,8,same_letter
2241,psychology,E,E,5,same_letter
2242,psychology,F,I,3,shifted_content
2245,psychology,E,E,3,same_letter
2247,psychology,G,C,4,other
2251,psychology,G,F,5,other
2252,psychology,G,E,8,shifted_content
2254,psychology,E,E,9,same_letter
2257,psychology,F,E,1,other
2260,psychology,F,E,6,other
2261,psychology,D,E,7,other
2264,psychology,C,E,2,shifted_content
2265,psychology,G,F,4,other
2267,psychology,G,J,3,shifted_content
2269,psychology,F,G,3,other
2273,psychology,E,C,5,other
2276,psychology,F,E,5,other
2277,psychology,E,F,2,other
2278,psychology,I,G,8,shifted_content
2279,psychology,E,E,5,same_letter
2280,psychology,E,E,3,same_letter
2281,psychology,E,E,8,same_letter
2282,psychology,F,E,7,other
2283,psychology,E,E,7,same_letter
2285,psychology,E,E,9,same_letter
2288,psychology,F,E,7,other
2289,psychology,E,E,8,same_letter
2291,psychology,F,F,6,same_letter
2292,psychology,E,G,1,other
2294,psychology,E,F,2,other
2295,psychology,G,F,4,other
2297,psychology,F,F,4,same_letter
2298,psychology,F,C,9,other
2300,psychology,F,F,3,same_letter
2302,psychology,E,D,9,shifted_content
2303,psychology,I,G,8,shifted_content
2304,psychology,E,G,7,other
2305,psychology,E,E,4,same_letter
2306,psychology,F,G,4,other
2308,psychology,F,E,6,other
2309,psychology,E,E,7,same_letter
2310,psychology,E,B,5,other
2312,psychology,E,F,4,other
2316,psychology,E,F,3,other
2319,psychology,B,E,9,other
2321,psychology,B,E,9,other
2324,psychology,G,F,9,shifted_content
2326,psychology,J,F,6,shifted_content
2327,psychology,E,H,3,shifted_content
2329,psychology,E,E,6,same_letter
2330,psychology,B,F,4,shifted_content
2331,psychology,E,E,3,same_letter
2333,psychology,E,D,3,other
2335,psychology,F,E,8,other
2339,psychology,G,G,9,same_letter
2340,psychology,E,F,6,other
2343,psychology,E,E,3,same_letter
2344,psychology,E,E,1,same_letter
2345,psychology,F,E,4,other
2346,psychology,E,G,7,other
2347,psychology,F,E,3,other
2349,psychology,C,F,7,other
2351,psychology,B,C,1,shifted_content
2355,psychology,B,E,3,shifted_content
2357,psychology,E,E,9,same_letter
2358,psychology,F,G,5,other
2359,psychology,I,C,4,shifted_content
2360,psychology,E,F,7,other
2361,psychology,E,E,1,same_letter
2362,psychology,E,J,7,other
2363,psychology,G,G,6,same_letter
2364,psychology,G,E,6,other
2365,psychology,G,J,3,shifted_content
2366,psychology,F,E,9,shifted_content
2368,psychology,C,A,8,shifted_content
2371,psychology,C,I,6,shifted_content
2372,psychology,D,C,9,shifted_content
2374,psychology,E,E,3,same_letter
2377,psychology,J,C,1,other
2381,psychology,C,E,1,other
2382,psychology,E,F,6,other
2383,psychology,C,F,9,other
2387,psychology,F,E,9,shifted_content
2390,psychology,C,E,7,other
2392,psychology,E,E,8,same_letter
2393,psychology,F,F,4,same_letter
2394,psychology,E,E,3,same_letter
2397,psychology,F,E,6,other
2398,psychology,E,E,9,same_letter
2399,psychology,F,B,6,shifted_content
2400,psychology,E,G,6,other
2401,psychology,F,E,7,other
2403,psychology,E,F,9,other
2404,psychology,E,J,1,other
2405,psychology,E,E,6,same_letter
2406,psychology,E,E,1,same_letter
2407,psychology,E,E,1,same_letter
2408,psychology,E,E,6,same_letter
2409,psychology,F,F,9,same_letter
2410,psychology,F,E,5,other
2411,psychology,E,B,9,other
2412,psychology,C,G,8,other
2413,psychology,E,B,3,other
2414,psychology,C,E,2,shifted_content
2416,psychology,C,J,1,other
2417,psychology,E,F,9,other
2418,psychology,H,I,1,shifted_content
2419,psychology,F,J,4,shifted_content
2420,psychology,C,G,6,other
2421,psychology,E,F,5,other
2422,psychology,B,J,8,shifted_content
2423,psychology,C,G,4,shifted_content
2424,psychology,F,D,5,other
2425,psychology,E,E,7,same_letter
2426,psychology,H,F,8,shifted_content
2429,psychology,E,H,6,other
2430,psychology,G,C,6,shifted_content
2432,psychology,E,E,7,same_letter
2434,psychology,F,E,3,other
2437,psychology,F,E,3,other
2438,psychology,F,E,1,other
2441,psychology,F,F,6,same_letter
2442,psychology,E,G,7,other
2443,psychology,E,E,9,same_letter
2448,psychology,G,G,3,same_letter
2449,psychology,E,E,6,same_letter
2450,psychology,G,E,5,other
2451,psychology,E,G,3,other
2452,psychology,E,E,3,same_letter
2455,psychology,C,G,4,shifted_content
2458,psychology,E,E,6,same_letter
2459,psychology,E,E,8,same_letter
2460,psychology,F,G,7,other
2461,psychology,E,E,5,same_letter
2463,psychology,C,C,3,same_letter
2464,psychology,E,E,8,same_letter
2467,psychology,G,E,8,shifted_content
2468,psychology,G,I,2,shifted_content
2470,psychology,F,E,1,other
2471,psychology,C,B,9,shifted_content
2472,psychology,E,E,1,same_letter
2474,psychology,E,H,6,other
2475,psychology,E,E,7,same_letter
2476,psychology,G,F,6,other
2479,psychology,E,E,6,same_letter
2480,psychology,B,A,9,shifted_content
2481,psychology,E,E,9,same_letter
2482,psychology,D,E,5,other
2484,psychology,G,F,9,shifted_content
2485,psychology,G,G,6,same_letter
2486,psychology,F,E,6,other
2489,psychology,G,E,2,other
2490,psychology,E,E,6,same_letter
2491,psychology,E,A,4,other
2492,psychology,E,F,4,other
2493,psychology,I,H,9,shifted_content
2494,psychology,G,F,9,shifted_content
2495,psychology,D,E,1,shifted_content
2497,psychology,E,E,4,same_letter
2499,psychology,F,F,7,same_letter
2500,psychology,E,D,6,other
2501,psychology,C,F,3,shifted_content
2502,psychology,E,E,8,same_letter
2503,psychology,E,G,7,other
2504,psychology,E,G,9,other
2507,psychology,J,F,6,shifted_content
2508,psychology,E,F,8,other
2512,psychology,E,A,6,shifted_content
2513,psychology,E,C,7,other
2514,psychology,E,C,8,shifted_content
2515,psychology,C,E,5,other
2516,psychology,E,D,5,other
2519,psychology,E,E,8,same_letter
2520,psychology,F,B,3,other
2522,psychology,J,D,6,other
2524,psychology,F,G,8,other
2527,psychology,E,E,4,same_letter
2528,psychology,F,F,1,same_letter
2530,psychology,B,D,2,shifted_content
2532,psychology,B,F,8,other
2533,psychology,E,C,8,shifted_content
2534,psychology,E,E,4,same_letter
2535,psychology,E,F,6,other
2536,psychology,F,E,2,other
2540,psychology,E,E,8,same_letter
2541,psychology,E,E,5,same_letter
2542,psychology,I,B,6,other
2543,psychology,E,E,8,same_letter
2545,psychology,H,E,7,shifted_content
2546,psychology,G,G,8,same_letter
2548,psychology,G,G,1,same_letter
2549,psychology,E,G,8,other
2551,psychology,H,F,2,other
2552,psychology,B,I,7,shifted_content
2554,psychology,G,J,9,other
2556,psychology,G,F,5,other
2557,psychology,E,F,5,other
2558,psychology,E,E,5,same_letter
2560,psychology,E,D,7,other
2562,psychology,E,E,2,same_letter
2564,psychology,E,E,7,same_letter
2566,psychology,G,C,6,shifted_content
2568,psychology,E,E,7,same_letter
2569,psychology,F,G,3,other
2571,psychology,G,E,5,other
2572,psychology,C,E,6,other
2573,psychology,E,F,5,other
2577,psychology,E,G,8,other
2578,psychology,G,F,8,other
2579,psychology,E,E,2,same_letter
2581,psychology,F,F,5,same_letter
2584,psychology,G,I,2,shifted_content
2586,psychology,E,E,2,same_letter
2587,psychology,C,F,5,other
2588,psychology,C,E,5,other
2589,psychology,E,E,2,same_letter
2590,psychology,C,C,1,same_letter
2591,psychology,G,E,8,shifted_content
2593,psychology,D,C,9,shifted_content
2596,psychology,E,F,9,other
2597,psychology,E,J,9,other
2598,psychology,F,H,2,shifted_content
2599,psychology,F,G,1,shifted_content
2600,psychology,B,E,3,shifted_content
2601,psychology,J,G,1,other
2603,psychology,D,E,7,other
2604,psychology,E,E,7,same_letter
2605,psychology,D,F,2,shifted_content
2606,psychology,F,E,5,other
2609,psychology,B,H,6,shifted_content
2610,psychology,J,G,7,shifted_content
2611,psychology,G,E,5,other
2612,psychology,G,E,9,other
2613,psychology,E,E,4,same_letter
2614,psychology,G,F,6,other
2616,psychology,F,E,5,other
2617,psychology,E,E,6,same_letter
2618,psychology,E,E,2,same_letter
2619,psychology,F,C,7,shifted_content
2620,psychology,F,C,5,other
2621,psychology,D,C,5,other
2622,psychology,E,C,4,other
